,STATE.UT,Year,id,CAUSE,Male.upto.14.years,Male.15.29.years,Male.30.44.years,Male.45.59.years,Male.60.years.and.above,Total.Male,Female.upto.14.years,Female.15.29.years,Female.30.44.years,Female.45.59.years,Female.60.years.and.above,Total.Female,Transgender.upto.14.years,Transgender.15.29.years,Transgender.30.44.years,Transgender.45.59.years,Transgender.60.years.and.above,Total.Transgender,Grand.Total
4306,JHARKHAND,2013,16,HEALTH ISSUES,2,9,14,24,13,62,0,7,11,9,3,30,0,0,0,0,0,0,92
4851,JHARKHAND,2013,16,HERO WORSHIP,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3
5396,JHARKHAND,2013,16,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4
5941,JHARKHAND,2013,16,LOVE AFFAIRS,0,41,16,0,0,57,4,33,4,0,0,41,0,0,0,0,0,0,98
6487,JHARKHAND,2013,16,MARITAL ISSUES,0,27,10,4,0,41,0,26,15,2,0,43,0,0,0,0,0,0,84
7033,JHARKHAND,2013,16,MENTAL HEALTH,1,14,17,10,4,46,2,6,6,3,1,18,0,0,0,0,0,0,64
7579,JHARKHAND,2013,16,OTHERS,43,76,82,78,28,307,14,38,41,38,9,140,0,0,0,0,0,0,447
8163,JHARKHAND,2013,16,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,7,23,0,30,0,3,8,0,0,11,0,0,0,0,0,0,41
8670,JHARKHAND,2013,16,SOCIETAL ISSUES,0,8,6,4,0,18,0,3,1,0,1,5,0,0,0,0,0,0,23
523,JHARKHAND,2014,16,CAUSES NOT KNOWN,4,52,47,28,2,133,2,51,28,6,6,93,0,0,0,0,0,0,226
1069,JHARKHAND,2014,16,DEATH OF DEAR PERSON,0,1,1,1,2,5,0,1,0,0,0,1,0,0,0,0,0,0,6
1615,JHARKHAND,2014,16,DOWRY DISPUTE,0,0,1,0,0,1,0,6,0,0,0,6,0,0,0,0,0,0,7
2161,JHARKHAND,2014,16,DRUG ABUSE,0,11,5,0,0,16,0,1,0,1,0,2,0,0,0,0,0,0,18
2707,JHARKHAND,2014,16,ECONOMIC ISSUES,0,28,27,13,0,68,0,16,11,3,0,30,0,0,0,0,0,0,98
3253,JHARKHAND,2014,16,EXAM FAILURE,2,24,5,0,0,31,2,11,1,0,0,14,0,0,0,0,0,0,45
3799,JHARKHAND,2014,16,FAMILY PROBLEMS,0,35,22,40,6,103,0,29,19,0,0,48,0,0,0,0,0,0,151
4345,JHARKHAND,2014,16,HEALTH ISSUES,1,45,46,31,0,123,0,8,10,11,4,33,0,0,0,0,0,0,156
4890,JHARKHAND,2014,16,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5435,JHARKHAND,2014,16,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5980,JHARKHAND,2014,16,LOVE AFFAIRS,0,31,6,6,0,43,1,21,2,0,0,24,0,0,0,0,0,0,67
6526,JHARKHAND,2014,16,MARITAL ISSUES,0,40,18,9,0,67,0,37,9,2,1,49,0,0,0,0,0,0,116
7072,JHARKHAND,2014,16,MENTAL HEALTH,1,9,14,9,0,33,0,6,2,3,2,13,0,0,0,0,0,0,46
7618,JHARKHAND,2014,16,OTHERS,14,191,122,45,12,384,19,95,25,6,2,147,0,0,0,0,0,0,531
7657,JHARKHAND,2014,16,PHYSICAL ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8709,JHARKHAND,2014,16,SOCIETAL ISSUES,0,4,5,4,3,16,0,0,1,2,0,3,0,0,0,0,0,0,19
17,KARNATAKA,2001,17,CAUSES NOT KNOWN,51,608,816,496,209,2180,42,350,244,145,71,852,0,0,0,0,0,0,3032
563,KARNATAKA,2001,17,DEATH OF DEAR PERSON,2,11,10,5,4,32,0,10,4,6,1,21,0,0,0,0,0,0,53
1109,KARNATAKA,2001,17,DOWRY DISPUTE,0,1,2,0,0,3,0,63,24,2,0,89,0,0,0,0,0,0,92
1655,KARNATAKA,2001,17,DRUG ABUSE,2,14,16,12,11,55,5,5,3,3,3,19,0,0,0,0,0,0,74
2201,KARNATAKA,2001,17,ECONOMIC ISSUES,8,260,356,209,78,911,1,71,52,34,13,171,0,0,0,0,0,0,1082
2747,KARNATAKA,2001,17,EXAM FAILURE,26,70,4,1,0,101,16,52,2,0,0,70,0,0,0,0,0,0,171
3293,KARNATAKA,2001,17,FAMILY PROBLEMS,10,301,493,286,69,1159,23,370,265,82,12,752,0,0,0,0,0,0,1911
3839,KARNATAKA,2001,17,HEALTH ISSUES,17,532,659,481,245,1934,31,468,278,198,96,1071,0,0,0,0,0,0,3005
4385,KARNATAKA,2001,17,HERO WORSHIP,1,1,1,0,0,3,0,1,1,1,0,3,0,0,0,0,0,0,6
4930,KARNATAKA,2001,17,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,9,1,0,0,10,0,0,0,0,0,0,10
5475,KARNATAKA,2001,17,LOVE AFFAIRS,1,51,9,3,0,64,3,54,5,0,0,62,0,0,0,0,0,0,126
6020,KARNATAKA,2001,17,MARITAL ISSUES,0,23,31,16,2,72,1,83,33,8,0,125,0,0,0,0,0,0,197
6566,KARNATAKA,2001,17,MENTAL HEALTH,5,96,155,86,38,380,11,92,77,48,39,267,0,0,0,0,0,0,647
7112,KARNATAKA,2001,17,OTHERS,52,235,282,211,64,844,51,176,118,98,27,470,0,0,0,0,0,0,1314
7697,KARNATAKA,2001,17,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,10,3,13,0,7,4,0,3,14,0,0,0,0,0,0,27
8203,KARNATAKA,2001,17,SOCIETAL ISSUES,5,39,46,20,10,120,0,6,7,1,0,14,0,0,0,0,0,0,134
56,KARNATAKA,2002,17,CAUSES NOT KNOWN,34,548,742,453,196,1973,49,296,247,123,105,820,0,0,0,0,0,0,2793
602,KARNATAKA,2002,17,DEATH OF DEAR PERSON,3,10,14,10,5,42,1,13,5,5,1,25,0,0,0,0,0,0,67
1148,KARNATAKA,2002,17,DOWRY DISPUTE,0,0,0,0,0,0,0,72,26,3,0,101,0,0,0,0,0,0,101
1694,KARNATAKA,2002,17,DRUG ABUSE,2,15,24,16,13,70,5,4,6,4,5,24,0,0,0,0,0,0,94
2240,KARNATAKA,2002,17,ECONOMIC ISSUES,8,214,320,178,54,774,3,67,52,27,9,158,0,0,0,0,0,0,932
2786,KARNATAKA,2002,17,EXAM FAILURE,15,92,3,0,0,110,23,64,0,0,0,87,0,0,0,0,0,0,197
3332,KARNATAKA,2002,17,FAMILY PROBLEMS,4,298,545,291,60,1198,7,391,326,87,29,840,0,0,0,0,0,0,2038
3878,KARNATAKA,2002,17,HEALTH ISSUES,22,553,779,484,312,2150,82,448,341,210,113,1194,0,0,0,0,0,0,3344
4424,KARNATAKA,2002,17,HERO WORSHIP,0,8,0,4,0,12,0,0,0,0,1,1,0,0,0,0,0,0,13
4969,KARNATAKA,2002,17,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,0,4
5514,KARNATAKA,2002,17,LOVE AFFAIRS,0,48,10,1,1,60,2,40,2,0,0,44,0,0,0,0,0,0,104
6059,KARNATAKA,2002,17,MARITAL ISSUES,0,38,35,12,0,85,2,82,45,3,0,132,0,0,0,0,0,0,217
6605,KARNATAKA,2002,17,MENTAL HEALTH,1,87,134,84,39,345,5,73,70,42,34,224,0,0,0,0,0,0,569
7151,KARNATAKA,2002,17,OTHERS,32,363,418,290,128,1231,25,234,157,63,43,522,0,0,0,0,0,0,1753
7736,KARNATAKA,2002,17,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,2,0,0,2,0,4,1,0,0,5,0,0,0,0,0,0,7
8242,KARNATAKA,2002,17,SOCIETAL ISSUES,0,11,5,9,3,28,0,5,3,1,0,9,0,0,0,0,0,0,37
95,KARNATAKA,2003,17,CAUSES NOT KNOWN,47,617,756,469,211,2100,48,315,323,158,73,917,0,0,0,0,0,0,3017
641,KARNATAKA,2003,17,DEATH OF DEAR PERSON,0,24,10,14,8,56,1,22,11,0,2,36,0,0,0,0,0,0,92
1187,KARNATAKA,2003,17,DOWRY DISPUTE,0,0,0,0,0,0,0,28,15,2,0,45,0,0,0,0,0,0,45
1733,KARNATAKA,2003,17,DRUG ABUSE,0,19,18,11,4,52,0,3,2,0,0,5,0,0,0,0,0,0,57
2279,KARNATAKA,2003,17,ECONOMIC ISSUES,10,262,410,220,84,986,5,52,67,39,22,185,0,0,0,0,0,0,1171
2825,KARNATAKA,2003,17,EXAM FAILURE,11,66,4,0,0,81,10,45,1,0,0,56,0,0,0,0,0,0,137
3371,KARNATAKA,2003,17,FAMILY PROBLEMS,4,302,421,307,82,1116,11,256,239,96,40,642,0,0,0,0,0,0,1758
3917,KARNATAKA,2003,17,HEALTH ISSUES,29,456,543,442,262,1732,38,384,279,173,105,979,0,0,0,0,0,0,2711
4463,KARNATAKA,2003,17,HERO WORSHIP,0,8,0,4,0,12,0,0,0,0,1,1,0,0,0,0,0,0,13
5008,KARNATAKA,2003,17,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
5553,KARNATAKA,2003,17,LOVE AFFAIRS,1,47,7,1,0,56,5,56,5,0,0,66,0,0,0,0,0,0,122
6098,KARNATAKA,2003,17,MARITAL ISSUES,0,25,37,10,0,72,4,50,41,7,0,102,0,0,0,0,0,0,174
6644,KARNATAKA,2003,17,MENTAL HEALTH,4,115,172,104,73,468,2,94,65,46,19,226,0,0,0,0,0,0,694
7190,KARNATAKA,2003,17,OTHERS,35,481,508,418,185,1627,30,316,231,90,47,714,0,0,0,0,0,0,2341
7775,KARNATAKA,2003,17,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2
8281,KARNATAKA,2003,17,SOCIETAL ISSUES,1,4,9,2,1,17,0,8,1,0,0,9,0,0,0,0,0,0,26
134,KARNATAKA,2004,17,CAUSES NOT KNOWN,20,655,767,509,211,2162,36,317,289,110,50,802,0,0,0,0,0,0,2964
680,KARNATAKA,2004,17,DEATH OF DEAR PERSON,0,19,9,7,3,38,3,10,5,2,4,24,0,0,0,0,0,0,62
1226,KARNATAKA,2004,17,DOWRY DISPUTE,0,0,0,0,0,0,0,33,10,0,0,43,0,0,0,0,0,0,43
1772,KARNATAKA,2004,17,DRUG ABUSE,0,17,14,15,4,50,0,3,2,0,0,5,0,0,0,0,0,0,55
2318,KARNATAKA,2004,17,ECONOMIC ISSUES,8,197,290,210,45,750,4,54,68,32,12,170,0,0,0,0,0,0,920
2864,KARNATAKA,2004,17,EXAM FAILURE,15,45,7,4,0,71,6,47,0,2,0,55,0,0,0,0,0,0,126
3410,KARNATAKA,2004,17,FAMILY PROBLEMS,16,257,430,237,56,996,18,317,214,71,25,645,0,0,0,0,0,0,1641
3956,KARNATAKA,2004,17,HEALTH ISSUES,26,489,616,431,241,1803,17,383,275,168,97,940,0,0,0,0,0,0,2743
4502,KARNATAKA,2004,17,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5047,KARNATAKA,2004,17,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,1,4,3,0,0,8,0,0,0,0,0,0,8
5592,KARNATAKA,2004,17,LOVE AFFAIRS,0,34,15,0,0,49,4,41,3,0,0,48,0,0,0,0,0,0,97
6137,KARNATAKA,2004,17,MARITAL ISSUES,2,24,43,13,2,84,0,49,34,3,0,86,0,0,0,0,0,0,170
6683,KARNATAKA,2004,17,MENTAL HEALTH,4,129,127,79,37,376,5,89,85,39,19,237,0,0,0,0,0,0,613
7229,KARNATAKA,2004,17,OTHERS,68,435,588,353,141,1585,52,337,242,170,50,851,0,0,0,0,0,0,2436
7814,KARNATAKA,2004,17,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8320,KARNATAKA,2004,17,SOCIETAL ISSUES,0,27,22,4,0,53,0,4,1,0,0,5,0,0,0,0,0,0,58
173,KARNATAKA,2005,17,CAUSES NOT KNOWN,22,717,755,566,135,2195,15,300,260,134,51,760,0,0,0,0,0,0,2955
719,KARNATAKA,2005,17,DEATH OF DEAR PERSON,0,5,11,11,8,35,0,11,8,6,1,26,0,0,0,0,0,0,61
1265,KARNATAKA,2005,17,DOWRY DISPUTE,0,0,0,0,0,0,0,34,4,0,0,38,0,0,0,0,0,0,38
1811,KARNATAKA,2005,17,DRUG ABUSE,0,7,27,15,3,52,0,1,2,0,4,7,0,0,0,0,0,0,59
2357,KARNATAKA,2005,17,ECONOMIC ISSUES,1,168,235,130,40,574,1,42,47,20,9,119,0,0,0,0,0,0,693
2903,KARNATAKA,2005,17,EXAM FAILURE,7,71,3,0,0,81,6,49,5,0,1,61,0,0,0,0,0,0,142
3449,KARNATAKA,2005,17,FAMILY PROBLEMS,12,276,418,243,51,1000,8,211,178,79,23,499,0,0,0,0,0,0,1499
3995,KARNATAKA,2005,17,HEALTH ISSUES,12,394,516,412,261,1595,16,377,300,174,79,946,0,0,0,0,0,0,2541
4541,KARNATAKA,2005,17,HERO WORSHIP,1,3,4,4,0,12,0,7,1,0,0,8,0,0,0,0,0,0,20
5086,KARNATAKA,2005,17,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
5631,KARNATAKA,2005,17,LOVE AFFAIRS,0,49,13,0,0,62,0,30,4,0,0,34,0,0,0,0,0,0,96
6176,KARNATAKA,2005,17,MARITAL ISSUES,0,23,33,13,1,70,0,52,42,14,2,110,0,0,0,0,0,0,180
6722,KARNATAKA,2005,17,MENTAL HEALTH,2,86,146,91,33,358,3,85,73,56,45,262,0,0,0,0,0,0,620
7268,KARNATAKA,2005,17,OTHERS,47,454,513,454,166,1634,38,412,297,167,57,971,0,0,0,0,0,0,2605
7853,KARNATAKA,2005,17,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,1,0,2,0,3,0,1,1,0,0,2,0,0,0,0,0,0,5
8359,KARNATAKA,2005,17,SOCIETAL ISSUES,0,7,17,11,1,36,0,1,4,1,0,6,0,0,0,0,0,0,42
212,KARNATAKA,2006,17,CAUSES NOT KNOWN,33,589,581,488,108,1799,16,281,195,119,33,644,0,0,0,0,0,0,2443
758,KARNATAKA,2006,17,DEATH OF DEAR PERSON,0,5,12,11,6,34,0,11,6,8,1,26,0,0,0,0,0,0,60
1304,KARNATAKA,2006,17,DOWRY DISPUTE,0,10,2,0,0,12,0,26,7,0,0,33,0,0,0,0,0,0,45
1850,KARNATAKA,2006,17,DRUG ABUSE,2,16,35,11,4,68,2,3,1,0,1,7,0,0,0,0,0,0,75
2396,KARNATAKA,2006,17,ECONOMIC ISSUES,1,143,189,140,55,528,1,81,53,34,13,182,0,0,0,0,0,0,710
2942,KARNATAKA,2006,17,EXAM FAILURE,3,50,13,4,0,70,3,60,9,3,0,75,0,0,0,0,0,0,145
3488,KARNATAKA,2006,17,FAMILY PROBLEMS,9,257,415,312,97,1090,10,262,235,107,23,637,0,0,0,0,0,0,1727
4034,KARNATAKA,2006,17,HEALTH ISSUES,7,403,594,560,242,1806,29,398,374,213,82,1096,0,0,0,0,0,0,2902
4580,KARNATAKA,2006,17,HERO WORSHIP,0,1,5,2,1,9,0,2,0,1,0,3,0,0,0,0,0,0,12
5125,KARNATAKA,2006,17,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2
5670,KARNATAKA,2006,17,LOVE AFFAIRS,1,47,4,0,0,52,2,36,10,0,1,49,0,0,0,0,0,0,101
6215,KARNATAKA,2006,17,MARITAL ISSUES,0,27,18,10,2,57,0,53,20,6,0,79,0,0,0,0,0,0,136
6761,KARNATAKA,2006,17,MENTAL HEALTH,0,94,124,75,46,339,6,65,64,40,14,189,0,0,0,0,0,0,528
7307,KARNATAKA,2006,17,OTHERS,95,663,843,408,164,2173,62,473,351,159,97,1142,0,0,0,0,0,0,3315
7892,KARNATAKA,2006,17,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,1,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
8398,KARNATAKA,2006,17,SOCIETAL ISSUES,0,1,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
251,KARNATAKA,2007,17,CAUSES NOT KNOWN,30,527,714,735,149,2155,16,217,284,178,27,722,0,0,0,0,0,0,2877
797,KARNATAKA,2007,17,DEATH OF DEAR PERSON,0,5,21,12,2,40,0,7,9,3,4,23,0,0,0,0,0,0,63
1343,KARNATAKA,2007,17,DOWRY DISPUTE,0,1,0,0,0,1,0,34,8,0,0,42,0,0,0,0,0,0,43
1889,KARNATAKA,2007,17,DRUG ABUSE,0,5,18,4,4,31,0,8,1,0,0,9,0,0,0,0,0,0,40
2435,KARNATAKA,2007,17,ECONOMIC ISSUES,5,154,224,134,51,568,17,71,41,21,4,154,0,0,0,0,0,0,722
2981,KARNATAKA,2007,17,EXAM FAILURE,6,45,2,0,0,53,7,36,3,0,0,46,0,0,0,0,0,0,99
3527,KARNATAKA,2007,17,FAMILY PROBLEMS,5,301,487,436,75,1304,7,309,243,162,49,770,0,0,0,0,0,0,2074
4073,KARNATAKA,2007,17,HEALTH ISSUES,18,395,570,510,219,1712,20,352,288,219,102,981,0,0,0,0,0,0,2693
4618,KARNATAKA,2007,17,HERO WORSHIP,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
5163,KARNATAKA,2007,17,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,3
5708,KARNATAKA,2007,17,LOVE AFFAIRS,0,41,9,0,0,50,1,33,3,0,1,38,0,0,0,0,0,0,88
6254,KARNATAKA,2007,17,MARITAL ISSUES,0,22,37,15,4,78,1,65,38,10,0,114,0,0,0,0,0,0,192
6800,KARNATAKA,2007,17,MENTAL HEALTH,4,106,140,112,46,408,6,89,67,42,25,229,0,0,0,0,0,0,637
7346,KARNATAKA,2007,17,OTHERS,41,547,750,453,176,1967,52,296,241,118,62,769,0,0,0,0,0,0,2736
7930,KARNATAKA,2007,17,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,5,3,2,0,10,0,3,3,0,0,6,0,0,0,0,0,0,16
8437,KARNATAKA,2007,17,SOCIETAL ISSUES,0,0,8,5,0,13,0,2,4,0,0,6,0,0,0,0,0,0,19
290,KARNATAKA,2008,17,CAUSES NOT KNOWN,18,452,516,609,154,1749,14,275,199,116,76,680,0,0,0,0,0,0,2429
836,KARNATAKA,2008,17,DEATH OF DEAR PERSON,0,5,9,5,5,24,1,15,9,5,2,32,0,0,0,0,0,0,56
1382,KARNATAKA,2008,17,DOWRY DISPUTE,0,0,0,0,0,0,0,27,11,0,0,38,0,0,0,0,0,0,38
1928,KARNATAKA,2008,17,DRUG ABUSE,0,4,10,12,2,28,1,0,0,0,1,2,0,0,0,0,0,0,30
2474,KARNATAKA,2008,17,ECONOMIC ISSUES,0,113,183,124,47,467,4,54,31,25,9,123,0,0,0,0,0,0,590
3020,KARNATAKA,2008,17,EXAM FAILURE,7,65,6,9,0,87,12,51,0,0,0,63,0,0,0,0,0,0,150
3566,KARNATAKA,2008,17,FAMILY PROBLEMS,2,317,467,354,73,1213,2,290,271,150,52,765,0,0,0,0,0,0,1978
4112,KARNATAKA,2008,17,HEALTH ISSUES,5,382,581,484,266,1718,19,383,287,201,84,974,0,0,0,0,0,0,2692
4657,KARNATAKA,2008,17,HERO WORSHIP,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2
5202,KARNATAKA,2008,17,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3
5747,KARNATAKA,2008,17,LOVE AFFAIRS,0,56,7,0,0,63,0,31,3,0,0,34,0,0,0,0,0,0,97
6293,KARNATAKA,2008,17,MARITAL ISSUES,1,13,26,12,2,54,2,47,35,8,0,92,0,0,0,0,0,0,146
6839,KARNATAKA,2008,17,MENTAL HEALTH,3,116,153,102,57,431,4,97,60,32,32,225,0,0,0,0,0,0,656
7385,KARNATAKA,2008,17,OTHERS,18,670,903,585,182,2358,19,374,353,151,60,957,0,0,0,0,0,0,3315
7969,KARNATAKA,2008,17,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,2,6,3,2,13,1,4,1,0,0,6,0,0,0,0,0,0,19
8476,KARNATAKA,2008,17,SOCIETAL ISSUES,0,3,3,4,1,11,1,4,1,2,2,10,0,0,0,0,0,0,21
329,KARNATAKA,2009,17,CAUSES NOT KNOWN,116,539,800,636,219,2310,68,340,292,163,97,960,0,0,0,0,0,0,3270
875,KARNATAKA,2009,17,DEATH OF DEAR PERSON,1,13,13,9,10,46,1,4,10,4,1,20,0,0,0,0,0,0,66
1421,KARNATAKA,2009,17,DOWRY DISPUTE,0,0,8,1,0,9,0,29,13,9,4,55,0,0,0,0,0,0,64
1967,KARNATAKA,2009,17,DRUG ABUSE,3,7,18,15,10,53,0,8,4,0,0,12,0,0,0,0,0,0,65
2513,KARNATAKA,2009,17,ECONOMIC ISSUES,4,126,207,144,69,550,4,45,44,28,10,131,0,0,0,0,0,0,681
3059,KARNATAKA,2009,17,EXAM FAILURE,7,59,3,11,0,80,11,56,0,0,0,67,0,0,0,0,0,0,147
3605,KARNATAKA,2009,17,FAMILY PROBLEMS,24,296,486,478,181,1465,12,224,282,136,51,705,0,0,0,0,0,0,2170
4151,KARNATAKA,2009,17,HEALTH ISSUES,20,305,542,533,311,1711,32,262,283,228,130,935,0,0,0,0,0,0,2646
4696,KARNATAKA,2009,17,HERO WORSHIP,0,0,3,6,1,10,0,0,0,0,0,0,0,0,0,0,0,0,10
5241,KARNATAKA,2009,17,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2
5786,KARNATAKA,2009,17,LOVE AFFAIRS,0,46,12,15,0,73,8,37,6,1,1,53,0,0,0,0,0,0,126
6332,KARNATAKA,2009,17,MARITAL ISSUES,2,18,38,13,1,72,1,52,44,16,4,117,0,0,0,0,0,0,189
6878,KARNATAKA,2009,17,MENTAL HEALTH,3,138,134,77,33,385,1,71,69,35,17,193,0,0,0,0,0,0,578
7424,KARNATAKA,2009,17,OTHERS,23,262,636,373,117,1411,25,167,203,275,55,725,0,0,0,0,0,0,2136
8008,KARNATAKA,2009,17,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,6,2,0,0,8,0,6,0,0,0,6,0,0,0,0,0,0,14
8515,KARNATAKA,2009,17,SOCIETAL ISSUES,0,4,1,20,1,26,0,4,1,0,0,5,0,0,0,0,0,0,31
368,KARNATAKA,2010,17,CAUSES NOT KNOWN,18,425,668,515,161,1787,37,269,226,137,56,725,0,0,0,0,0,0,2512
914,KARNATAKA,2010,17,DEATH OF DEAR PERSON,0,10,20,14,8,52,1,16,5,4,6,32,0,0,0,0,0,0,84
1460,KARNATAKA,2010,17,DOWRY DISPUTE,0,0,16,2,2,20,0,37,17,10,3,67,0,0,0,0,0,0,87
2006,KARNATAKA,2010,17,DRUG ABUSE,0,13,17,20,8,58,1,8,0,1,0,10,0,0,0,0,0,0,68
2552,KARNATAKA,2010,17,ECONOMIC ISSUES,0,134,212,231,59,636,3,26,22,25,16,92,0,0,0,0,0,0,728
3098,KARNATAKA,2010,17,EXAM FAILURE,9,78,0,0,0,87,9,51,0,0,0,60,0,0,0,0,0,0,147
3644,KARNATAKA,2010,17,FAMILY PROBLEMS,3,240,472,413,177,1305,1,310,219,138,58,726,0,0,0,0,0,0,2031
4190,KARNATAKA,2010,17,HEALTH ISSUES,8,377,672,661,313,2031,34,320,338,291,137,1120,0,0,0,0,0,0,3151
4735,KARNATAKA,2010,17,HERO WORSHIP,0,2,3,2,1,8,0,4,2,0,1,7,0,0,0,0,0,0,15
5280,KARNATAKA,2010,17,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,5,5,0,0,10,0,0,0,0,0,0,10
5825,KARNATAKA,2010,17,LOVE AFFAIRS,2,60,24,0,0,86,19,32,5,0,0,56,0,0,0,0,0,0,142
6371,KARNATAKA,2010,17,MARITAL ISSUES,0,17,21,9,3,50,0,58,39,9,2,108,0,0,0,0,0,0,158
6917,KARNATAKA,2010,17,MENTAL HEALTH,16,91,114,79,75,375,26,68,52,28,23,197,0,0,0,0,0,0,572
7463,KARNATAKA,2010,17,OTHERS,31,606,615,430,178,1860,37,395,318,192,89,1031,0,0,0,0,0,0,2891
8047,KARNATAKA,2010,17,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8554,KARNATAKA,2010,17,SOCIETAL ISSUES,0,17,10,12,12,51,0,3,0,0,0,3,0,0,0,0,0,0,54
407,KARNATAKA,2011,17,CAUSES NOT KNOWN,15,553,685,434,199,1886,11,248,245,162,36,702,0,0,0,0,0,0,2588
953,KARNATAKA,2011,17,DEATH OF DEAR PERSON,0,10,9,11,5,35,0,11,9,4,5,29,0,0,0,0,0,0,64
1499,KARNATAKA,2011,17,DOWRY DISPUTE,0,2,0,0,0,2,0,38,32,0,0,70,0,0,0,0,0,0,72
2045,KARNATAKA,2011,17,DRUG ABUSE,0,13,21,19,7,60,0,3,1,5,2,11,0,0,0,0,0,0,71
2591,KARNATAKA,2011,17,ECONOMIC ISSUES,0,160,250,163,40,613,2,36,33,24,13,108,0,0,0,0,0,0,721
3137,KARNATAKA,2011,17,EXAM FAILURE,59,82,2,0,0,143,5,75,0,2,0,82,0,0,0,0,0,0,225
3683,KARNATAKA,2011,17,FAMILY PROBLEMS,5,443,648,391,92,1579,4,337,276,199,38,854,0,0,0,0,0,0,2433
4229,KARNATAKA,2011,17,HEALTH ISSUES,2,348,566,505,224,1645,3,325,259,254,112,953,0,0,0,0,0,0,2598
4774,KARNATAKA,2011,17,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5319,KARNATAKA,2011,17,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5864,KARNATAKA,2011,17,LOVE AFFAIRS,113,78,7,2,0,200,0,70,14,2,0,86,0,0,0,0,0,0,286
6410,KARNATAKA,2011,17,MARITAL ISSUES,0,37,47,23,0,107,0,56,48,6,0,110,0,0,0,0,0,0,217
6956,KARNATAKA,2011,17,MENTAL HEALTH,1,100,104,66,53,324,6,96,58,35,29,224,0,0,0,0,0,0,548
7502,KARNATAKA,2011,17,OTHERS,24,486,681,475,162,1828,57,304,279,177,75,892,0,0,0,0,0,0,2720
8086,KARNATAKA,2011,17,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",1,1,5,1,0,8,0,2,0,0,0,2,0,0,0,0,0,0,10
8593,KARNATAKA,2011,17,SOCIETAL ISSUES,0,13,19,9,1,42,0,11,9,5,2,27,0,0,0,0,0,0,69
446,KARNATAKA,2012,17,CAUSES NOT KNOWN,18,402,596,375,146,1537,21,248,186,89,34,578,0,0,0,0,0,0,2115
992,KARNATAKA,2012,17,DEATH OF DEAR PERSON,0,8,10,12,6,36,3,14,13,7,6,43,0,0,0,0,0,0,79
1538,KARNATAKA,2012,17,DOWRY DISPUTE,0,0,0,0,0,0,0,27,17,0,0,44,0,0,0,0,0,0,44
2084,KARNATAKA,2012,17,DRUG ABUSE,0,24,22,19,6,71,0,2,0,2,2,6,0,0,0,0,0,0,77
